Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
30731	6	1982	To the Church in Pergamum	REV 2:12-17
30737	12	1983	To the Church in Thyatira	REV 2:18-29
30749	6	1984	To the Church in Sardis	REV 3:1-6
30755	7	1985	To the Church in Philadelphia	REV 3:7-13
30762	9	1986	To the Church in Laodicea	REV 3:14-22
30771	11	1987	The Throne in Heaven	REV 4:1-11
30782	14	1988	The Scroll and the Lamb	REV 5:1-14
30796	17	1989	The Seals	REV 6:1-17
30813	8	1990	144,000 Sealed	REV 7:1-8
30821	9	1991	The Great Multitude in White Robes	REV 7:9-17
30830	5	1992	The Seventh Seal and the Golden Censer	REV 8:1-5
30835	29	1993	The Trumpets	REV 8:6-9:21
30864	11	1994	The Angel and the Little Scroll	REV 10:1-11
30875	14	1995	The Two Witnesses	REV 11:1-14
30889	5	1996	The Seventh Trumpet	REV 11:15-19
30894	18	1997	The Woman and the Dragon	REV 12:1-13:1
30912	9	1998	The Beast out of the Sea	REV 13:2-10
30921	8	1999	The Beast out of the Earth	REV 13:11-18
30929	5	2000	The Lamb and the 144,000	REV 14:1-5
30934	8	2001	The Three Angels	REV 14:6-13
30942	7	2002	The Harvest of the Earth	REV 14:14-20
30949	8	2003	Seven Angels with Seven Plagues	REV 15:1-8
30957	21	2004	The Seven Bowls of God's Wrath	REV 16:1-21
30978	42	2005	The Woman and the Beast	REV 17:1-18:24
31020	10	2006	Hallelujah!	REV 19:1-10
31030	11	2007	The Rider on the White Horse	REV 19:11-21
31041	6	2008	The Thousand Years	REV 20:1-6
31047	4	2009	Satan's Doom	REV 20:7-10
31051	5	2010	The Dead Are Judged	REV 20:11-15
31056	27	2011	The New Jerusalem	REV 21:1-27
31083	6	2012	The River of Life	REV 22:1-6
